TOP.5c6c0312.00035399	START
TOP.5c6c0ec9.000f130f	user_options->attack_mode	3
TOP.5c6c0ec9.000f130f	user_options->benchmark	0
TOP.5c6c0ec9.000f130f	user_options->benchmark_all	0
TOP.5c6c0ec9.000f130f	user_options->bitmap_max	18
TOP.5c6c0ec9.000f130f	user_options->bitmap_min	16
TOP.5c6c0ec9.000f130f	user_options->debug_mode	0
TOP.5c6c0ec9.000f130f	user_options->example_hashes	0
TOP.5c6c0ec9.000f130f	user_options->force	1
TOP.5c6c0ec9.000f130f	user_options->hwmon_disable	0
TOP.5c6c0ec9.000f130f	user_options->hwmon_temp_abort	90
TOP.5c6c0ec9.000f130f	user_options->hash_mode	120
TOP.5c6c0ec9.000f130f	user_options->hex_charset	0
TOP.5c6c0ec9.000f130f	user_options->hex_salt	0
TOP.5c6c0ec9.000f130f	user_options->hex_wordlist	0
TOP.5c6c0ec9.000f130f	user_options->increment	0
TOP.5c6c0ec9.000f130f	user_options->increment_max	256
TOP.5c6c0ec9.000f130f	user_options->increment_min	1
TOP.5c6c0ec9.000f130f	user_options->keep_guessing	0
TOP.5c6c0ec9.000f130f	user_options->kernel_accel	0
TOP.5c6c0ec9.000f130f	user_options->kernel_loops	0
TOP.5c6c0ec9.000f130f	user_options->kernel_threads	0
TOP.5c6c0ec9.000f130f	user_options->keyspace	0
TOP.5c6c0ec9.000f130f	user_options->left	0
TOP.5c6c0ec9.000f130f	user_options->logfile_disable	0
TOP.5c6c0ec9.000f130f	user_options->loopback	0
TOP.5c6c0ec9.000f130f	user_options->machine_readable	0
TOP.5c6c0ec9.000f130f	user_options->markov_classic	0
TOP.5c6c0ec9.000f130f	user_options->markov_disable	0
TOP.5c6c0ec9.000f130f	user_options->markov_threshold	256
TOP.5c6c0ec9.000f130f	user_options->opencl_info	0
TOP.5c6c0ec9.000f130f	user_options->opencl_vector_width	0
TOP.5c6c0ec9.000f130f	user_options->optimized_kernel_enable	0
TOP.5c6c0ec9.000f130f	user_options->outfile_autohex	1
TOP.5c6c0ec9.000f130f	user_options->outfile_check_timer	5
TOP.5c6c0ec9.000f130f	user_options->outfile_format	3
TOP.5c6c0ec9.000f130f	user_options->wordlist_autohex_disable	0
TOP.5c6c0ec9.000f130f	user_options->potfile_disable	0
TOP.5c6c0ec9.000f130f	user_options->progress_only	0
TOP.5c6c0ec9.000f130f	user_options->quiet	0
TOP.5c6c0ec9.000f130f	user_options->remove	0
TOP.5c6c0ec9.000f130f	user_options->remove_timer	60
TOP.5c6c0ec9.000f130f	user_options->restore	0
TOP.5c6c0ec9.000f130f	user_options->restore_disable	0
TOP.5c6c0ec9.000f130f	user_options->restore_timer	60
TOP.5c6c0ec9.000f130f	user_options->rp_files_cnt	0
TOP.5c6c0ec9.000f130f	user_options->rp_gen	0
TOP.5c6c0ec9.000f130f	user_options->rp_gen_func_max	4
TOP.5c6c0ec9.000f130f	user_options->rp_gen_func_min	1
TOP.5c6c0ec9.000f130f	user_options->rp_gen_seed	0
TOP.5c6c0ec9.000f130f	user_options->runtime	0
TOP.5c6c0ec9.000f130f	user_options->scrypt_tmto	0
TOP.5c6c0ec9.000f130f	user_options->segment_size	33554432
TOP.5c6c0ec9.000f130f	user_options->self_test_disable	0
TOP.5c6c0ec9.000f130f	user_options->slow_candidates	0
TOP.5c6c0ec9.000f130f	user_options->show	0
TOP.5c6c0ec9.000f130f	user_options->speed_only	0
TOP.5c6c0ec9.000f130f	user_options->spin_damp	8
TOP.5c6c0ec9.000f130f	user_options->status	0
TOP.5c6c0ec9.000f130f	user_options->status_timer	10
TOP.5c6c0ec9.000f130f	user_options->stdout_flag	0
TOP.5c6c0ec9.000f130f	user_options->usage	0
TOP.5c6c0ec9.000f130f	user_options->username	0
TOP.5c6c0ec9.000f130f	user_options->veracrypt_pim	0
TOP.5c6c0ec9.000f130f	user_options->version	0
TOP.5c6c0ec9.000f130f	user_options->workload_profile	2
TOP.5c6c0ec9.000f130f	user_options->brain_client	0
TOP.5c6c0ec9.000f130f	user_options->brain_client_features	2
TOP.5c6c0ec9.000f130f	user_options->brain_server	0
TOP.5c6c0ec9.000f130f	user_options->brain_port	6863
TOP.5c6c0ec9.000f130f	user_options->brain_session	0
TOP.5c6c0ec9.000f130f	hashes->hashfile	hash.txt
TOP.5c6c0ec9.000f130f	hashes->hashlist_mode	4
TOP.5c6c0ec9.000f130f	hashes->hashlist_format	0
TOP.5c6c0ec9.000f130f	hashes->hashes_cnt	0
TOP.5c6c0ec9.000f130f	hashes->digests_cnt	6
TOP.5c6c0ec9.000f130f	hashes->digests_done	3
TOP.5c6c0ec9.000f130f	hashes->salts_cnt	1
TOP.5c6c0ec9.000f130f	hashes->salts_done	0
TOP.5c6c0ec9.000f130f	SUB.5c6c0ecc.0001ddd5	START
TOP.5c6c0ec9.000f130f	SUB.5c6c0ecc.0001ddd5	mask_ctx->mask	?1?1?1?1?1?1?1
TOP.5c6c0ec9.000f130f	SUB.5c6c0ecc.0001ddd5	runtime_start	1550585549
TOP.5c6c0ec9.000f130f	SUB.5c6c0ecc.0001ddd5	runtime_stop	1550605463
TOP.5c6c0ec9.000f130f	SUB.5c6c0ecc.0001ddd5	status-after-work	9
TOP.5c6c0ec9.000f130f	SUB.5c6c0ecc.0001ddd5	STOP
TOP.5c6c0ec9.000f130f	proc_start	1550585545
TOP.5c6c0ec9.000f130f	proc_stop	1550605464
TOP.5c6c0ec9.000f130f	STOP
